question,retreived chunk,context,answer,source
What is the exact document required from the Department of Economic Development for the final approval of a medical facility license?,approval from MOHAP engineers License of the Department of Economic Development Application letter of the facility Security clearance of owner Proof of owner's qualifications Final approval of inspection: The facility's plan with initial approval of MOHAP engineers The facility's plan with final approval of MOHAP engineers Final approval of the license: External billboard of the facility Medical waste agreement List of medical equipment Services price list License of radiation protection (issued by the Federal Authority,This document is part of the final approval process for healthcare facilities applying for a license under MOHAP.,A trade license issued by the Department of Economic Development is required for the final approval of a medical facility license.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact document required from the Department of Economic Development for the final approval of a medical facility license?,approval from MOHAP engineers License of the Department of Economic Development Application letter of the facility Security clearance of owner Proof of owner's qualifications Final approval of inspection: The facility's plan with initial approval of MOHAP engineers The facility's plan with final approval of MOHAP engineers Final approval of the license: External billboard of the facility Medical waste agreement List of medical equipment Services price list License of radiation protection (issued by the Federal Authority,This document is part of the final approval process for healthcare facilities applying for a license under MOHAP.,A trade license issued by the Department of Economic Development is required for the final approval of a medical facility license.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact document required from the Department of Economic Development for the final approval of a medical facility license?,"approval of inspection: An application letter from the owner requesting the license of the medical facility A letter addressed 'To whomsoever it may concern' The plan of the facility Photos of the site Statement of the total number of students, including gender and school stage, and the capacity of the facility (in the case of school and nursery clinics) Initial approval of the license: The facility's plan with initial approval from MOHAP engineers License of the Department of Economic Development Application letter of",This document is part of the final approval process for healthcare facilities applying for a license under MOHAP.,A trade license issued by the Department of Economic Development is required for the final approval of a medical facility license.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact document required from the Department of Economic Development for the final approval of a medical facility license?,"approval of inspection: An application letter from the owner requesting the license of the medical facility A letter addressed 'To whomsoever it may concern' The plan of the facility Photos of the site Statement of the total number of students, including gender and school stage, and the capacity of the facility (in the case of school and nursery clinics) Initial approval of the license: The facility's plan with initial approval from MOHAP engineers License of the Department of Economic Development Application letter of",This document is part of the final approval process for healthcare facilities applying for a license under MOHAP.,A trade license issued by the Department of Economic Development is required for the final approval of a medical facility license.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the specific service classification for the 'Appeal Against Medical Licensing Committee Decisions' service?,"Appeal Against Medical Licensing Committee Decisions Start Service Bookmark service Service completion duration 30 working days View more Service fees Free About the Service This service enables the owners of medical and pharmaceutical establishments, and members of their medical and technical teams, to appeal the decisions of the Medical Licensing Committee. Service Process 1 An appeal against the decision of the Medical or Pharmaceutical Licensing Committee should be submitted to the Office of the Minister of Health and",This service allows businesses and professionals to appeal decisions made by the Medical Licensing Committee.,The service classification for this appeal is 'Transactional' and the service type is 'Government to Business'.,https://mohap.gov.ae/en/services/appeal-against-medical-licensing-committee-decisions
What is the specific service classification for the 'Appeal Against Medical Licensing Committee Decisions' service?,"Appeal Against Medical Licensing Committee Decisions Start Service Bookmark service Service completion duration 30 working days View more Service fees Free About the Service This service enables the owners of medical and pharmaceutical establishments, and members of their medical and technical teams, to appeal the decisions of the Medical Licensing Committee. Service Process 1 An appeal against the decision of the Medical or Pharmaceutical Licensing Committee should be submitted to the Office of the Minister of Health and",This service allows businesses and professionals to appeal decisions made by the Medical Licensing Committee.,The service classification for this appeal is 'Transactional' and the service type is 'Government to Business'.,https://mohap.gov.ae/en/services/appeal-against-medical-licensing-committee-decisions
What is the specific service classification for the 'Appeal Against Medical Licensing Committee Decisions' service?,"to Thursday (7:30 am to 14:30 pm) Payment channels E- Payment Target audience Companies and investors in the health, health products and pharmaceutical sectors Resources Appeal Against Medical Licensing Committee Decisions Department name Empowerment & Health Compliance Sector name Health Regulation Main service Control and Inspection Service Code 110-07-006-006 Service Classfication Transactional Service Type Government to Business Sub Service Type Auxiliary Required Documents A letter of appeal addressed to the Minister",This service allows businesses and professionals to appeal decisions made by the Medical Licensing Committee.,The service classification for this appeal is 'Transactional' and the service type is 'Government to Business'.,https://mohap.gov.ae/en/services/appeal-against-medical-licensing-committee-decisions
What is the specific service classification for the 'Appeal Against Medical Licensing Committee Decisions' service?,"to Thursday (7:30 am to 14:30 pm) Payment channels E- Payment Target audience Companies and investors in the health, health products and pharmaceutical sectors Resources Appeal Against Medical Licensing Committee Decisions Department name Empowerment & Health Compliance Sector name Health Regulation Main service Control and Inspection Service Code 110-07-006-006 Service Classfication Transactional Service Type Government to Business Sub Service Type Auxiliary Required Documents A letter of appeal addressed to the Minister",This service allows businesses and professionals to appeal decisions made by the Medical Licensing Committee.,The service classification for this appeal is 'Transactional' and the service type is 'Government to Business'.,https://mohap.gov.ae/en/services/appeal-against-medical-licensing-committee-decisions
What is the specific service classification for the 'Appeal Against Medical Licensing Committee Decisions' service?,Appeals may be lodged within 15 days from the date of receiving the decision of the Medical Licensing Committee. Service completion duration,This service allows businesses and professionals to appeal decisions made by the Medical Licensing Committee.,The service classification for this appeal is 'Transactional' and the service type is 'Government to Business'.,https://mohap.gov.ae/en/services/appeal-against-medical-licensing-committee-decisions
What is the minimum number of days it takes to receive engineering team approval after submitting a request for health facility inspection?,of medical facilities may only be done after obtaining the final approval of the site plan from MOHAP engineers. Service completion duration Approval of the application: 1 working day Final licensing: 2 working days Engineering team approval: Initial inspection: 2 working days Verification of the facility plan: 5 to 7 working days Final inspection: 7 to10 working days Service fees Application fee for transferring the location of a facility: AED 100 Service fees for transferring the location of a facility: AED 100 Initial,This service involves inspecting the facility before approval is granted for licensing.,It takes a minimum of 2 working days to receive engineering team approval after submitting an inspection request.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the minimum number of days it takes to receive engineering team approval after submitting a request for health facility inspection?,and technicians employed must be consistent with the new facility type. Service completion duration Approval of the license application: 1 working day - Initial inspection: 2 working days Verification of the facility plan: 5 to 7 working days Final inspection: 7 to 10 working days Final licensing: 2 working days Engineering team approval: Initial inspection: 2 working days Verification of the facility plan: 5 to 7 working days Final inspection: 7 to10 working days Service fees Application fee: AED 100 Initial inspection,This service involves inspecting the facility before approval is granted for licensing.,It takes a minimum of 2 working days to receive engineering team approval after submitting an inspection request.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the minimum number of days it takes to receive engineering team approval after submitting a request for health facility inspection?,"team approval: Initial inspection: 2 working days Verification of the facility plan: 5 to 7 working days Final inspection: 7 to10 working days Service fees License Application Fees: AED 100 Initial Inspection Fees: Hospital/Convalescent Home/Fertility Center/Emergency Center/Home Medical Center: AED 2,000 General Clinic/Specialist Clinic/Medical Center/Medical Diagnosis Center/Rehabilitation Center: AED 1,000 Verifying Site Plan Fees: Hospital/Convalescent Home/Fertility Center/Emergency Center/Home Medical Center:",This service involves inspecting the facility before approval is granted for licensing.,It takes a minimum of 2 working days to receive engineering team approval after submitting an inspection request.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the minimum number of days it takes to receive engineering team approval after submitting a request for health facility inspection?,"team approval: Initial inspection: 2 working days Verification of the facility plan: 5 to 7 working days Final inspection: 7 to10 working days Service fees License Application Fees: AED 100 Initial Inspection Fees: Hospital/Convalescent Home/Fertility Center/Emergency Center/Home Medical Center: AED 2,000 General Clinic/Specialist Clinic/Medical Center/Medical Diagnosis Center/Rehabilitation Center: AED 1,000 Verifying Site Plan Fees: Hospital/Convalescent Home/Fertility Center/Emergency Center/Home Medical Center:",This service involves inspecting the facility before approval is granted for licensing.,It takes a minimum of 2 working days to receive engineering team approval after submitting an inspection request.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the minimum number of days it takes to receive engineering team approval after submitting a request for health facility inspection?,"if the facility consists of high floors. Compliance with engineering conditions and standards for licensing health facilities (regulations for healthcare facilities.) Initial approval will be valid for six (6) months only, which is the period granted to the owner to meet all the technical requirements and conditions for obtaining the MOHAP license. The initial approval does not imply the approval to practice or operate the facility; it is only granted in order to complete the procedures required to obtain the license.",This service involves inspecting the facility before approval is granted for licensing.,It takes a minimum of 2 working days to receive engineering team approval after submitting an inspection request.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
Which exact document must include the names of all licensed doctors and technicians within a healthcare facility when applying for a visiting doctor license?,Variation Related Services This service is not linked to any other services Service Bundle This service is not linked to any bundles Number of Users 2 Number of Transactions 2 Notes None Required Documents An application letter submitted by the facility to license the visiting doctor Job offer Copy of permanent license Plan of the facility approved by MOHAP engineers Certificate of experience Insurance against medical errors Facility license List of licensed doctors and technicians in the facility Letter of undertaking,This is required when applying for the service allowing a visiting doctor to practice at a private healthcare facility.,A list of licensed doctors and technicians in the facility must be included when applying for a visiting doctor license.,https://mohap.gov.ae/en/services/licensing-of-a-visiting-doctor-from-the-uae
Which exact document must include the names of all licensed doctors and technicians within a healthcare facility when applying for a visiting doctor license?,"cancellation, or change of title will be approved. 7 If the application requires a final license (issuance of a new license, re-licensing or transfer of a license), the customer (facility) must submit the required documents to the Ministry of Health and Prevention. 8 The employee concerned will approve the application, provided all the conditions are met, and issue the final license. Conditions & Requirements Visiting doctors may work in no more than two entities. Service completion duration 5 working days Service fees",This is required when applying for the service allowing a visiting doctor to practice at a private healthcare facility.,A list of licensed doctors and technicians in the facility must be included when applying for a visiting doctor license.,https://mohap.gov.ae/en/services/licensing-of-a-visiting-doctor-from-the-uae
Which exact document must include the names of all licensed doctors and technicians within a healthcare facility when applying for a visiting doctor license?,"cancellation, or change of title will be approved. 7 If the application requires a final license (issuance of a new license, re-licensing or transfer of a license), the customer (facility) must submit the required documents to the Ministry of Health and Prevention. 8 The employee concerned will approve the application, provided all the conditions are met, and issue the final license. Conditions & Requirements Visiting doctors may work in no more than two entities. Service completion duration 5 working days Service fees",This is required when applying for the service allowing a visiting doctor to practice at a private healthcare facility.,A list of licensed doctors and technicians in the facility must be included when applying for a visiting doctor license.,https://mohap.gov.ae/en/services/licensing-of-a-visiting-doctor-from-the-uae
Which exact document must include the names of all licensed doctors and technicians within a healthcare facility when applying for a visiting doctor license?,"cancellation, or change of title will be approved. 7 If the application requires a final license (issuance of a new license, re-licensing or transfer of a license), the customer (facility) must submit the required documents to the Ministry of Health and Prevention. 8 The employee concerned will approve the application, provided all the conditions are met, and issue the final license. Conditions & Requirements Visiting doctors may work in no more than two entities. Service completion duration 5 working days Service fees",This is required when applying for the service allowing a visiting doctor to practice at a private healthcare facility.,A list of licensed doctors and technicians in the facility must be included when applying for a visiting doctor license.,https://mohap.gov.ae/en/services/licensing-of-a-visiting-doctor-from-the-uae
Which exact document must include the names of all licensed doctors and technicians within a healthcare facility when applying for a visiting doctor license?,and technicians in the facility Letter of undertaking from the doctor with the number of licenses License of the doctor responsible for following up cases,This is required when applying for the service allowing a visiting doctor to practice at a private healthcare facility.,A list of licensed doctors and technicians in the facility must be included when applying for a visiting doctor license.,https://mohap.gov.ae/en/services/licensing-of-a-visiting-doctor-from-the-uae
What is the exact fee for re-verifying a geometric site plan for a general clinic or medical center?,"Home/Fertility Center/Emergency Center/Home Medical Center: AED2,000 General Clinic/Specialist Clinic/Medical Center/Medical Diagnosis Center/Rehabilitation Center: AED 1,000 Re-verifying Geometric Site Plan Fees: Hospital/Convalescent Home/Fertility Center/Emergency Center/Home Medical Center: AED1,000 General Clinic/Specialist Clinic/Medical Center/Medical Diagnosis Center/Rehabilitation Center: AED 500 Final License Fees: General Clinic/Rehabilitation Center/Home Health Center: AED 5,000 Specialist Clinic/Medical",This service requires a fee for re-verifying geometric site plans during the healthcare facility licensing process.,The fee for re-verifying a geometric site plan for a general clinic or medical center is AED 500.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact fee for re-verifying a geometric site plan for a general clinic or medical center?,"Home/Fertility Center/Emergency Center/Home Medical Center: AED2,000 General Clinic/Specialist Clinic/Medical Center/Medical Diagnosis Center/Rehabilitation Center: AED 1,000 Re-verifying Geometric Site Plan Fees: Hospital/Convalescent Home/Fertility Center/Emergency Center/Home Medical Center: AED1,000 General Clinic/Specialist Clinic/Medical Center/Medical Diagnosis Center/Rehabilitation Center: AED 500 Final License Fees: General Clinic/Rehabilitation Center/Home Health Center: AED 5,000 Specialist Clinic/Medical",This service requires a fee for re-verifying geometric site plans during the healthcare facility licensing process.,The fee for re-verifying a geometric site plan for a general clinic or medical center is AED 500.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact fee for re-verifying a geometric site plan for a general clinic or medical center?,"specialist clinic, medical center, medical diagnosis center, rehabilitation center: AED 1,000 Re-verifying architectural site plan fee: Hospital, convalescent home, fertility center, emergency center, home medical center: AED 1,000 General clinic, specialist clinic, medical center, medical diagnosis center, rehabilitation center: AED 500 Final license fee: General clinic, rehabilitation center, home health center: AED 5,000 Specialist clinic, medical diagnosis center, emergency center: AED 6,000 Multi-specialty clinic:",This service requires a fee for re-verifying geometric site plans during the healthcare facility licensing process.,The fee for re-verifying a geometric site plan for a general clinic or medical center is AED 500.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact fee for re-verifying a geometric site plan for a general clinic or medical center?,"Clinic/Medical Center/Medical Diagnosis Center/Rehabilitation Center: AED 1,000 Re-verifying geographical site plan fees: Hospital/Convalescent Home/Fertility Center/Emergency Center/Home Medical Center: AED 1,000 General Clinic/Specialist Clinic/Medical Center/Medical Diagnosis Center/Rehabilitation Center: AED 500 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Email: info@mohap.gov.ae Service locations MOHAP Website: www.mohap.gov.ae   MOHAP Smart App Email: info@mohap.gov.ae Support Email:",This service requires a fee for re-verifying geometric site plans during the healthcare facility licensing process.,The fee for re-verifying a geometric site plan for a general clinic or medical center is AED 500.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact fee for re-verifying a geometric site plan for a general clinic or medical center?,"of a facility: AED 100 Service fees for transferring the location of a facility: AED 100 Initial Inspection fees: Hospital/Convalescent Home/Fertility Center/Emergency Center/Home Medical Center: AED 2,000 General Clinic/Specialist Clinic/Medical Center/Medical Diagnosis Center/Rehabilitation Center: AED 1,000 Verifying site plan fees: Hospital/Convalescent Home/Fertility Center/Emergency Center/Home Medical Center: AED 2,000 General Clinic/Specialist Clinic/Medical Center/Medical Diagnosis Center/Rehabilitation Center:",This service requires a fee for re-verifying geometric site plans during the healthcare facility licensing process.,The fee for re-verifying a geometric site plan for a general clinic or medical center is AED 500.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What specific exclusion applies to the issuance of a good professional conduct certificate for health professionals?,"Issue a Good Standing Certificate for a Health Professional Start Service Bookmark service Service completion duration 3 working days View more Service fees Nursing professionals, medical professionals and d... Pharmacists and assistant pharmacists: AED 300 About the Service This service allows medical staff from public and private sectors to apply for certificate of good professional conduct Service Process 1 Login to the MoHAP website or smart app using the UAE PASS to apply for the service 2 Submit the required",This service issues good professional conduct certificates to licensed health professionals in the UAE.,A good professional conduct certificate will not be issued to those who have only an initial license from the Ministry of Health and Prevention.,https://mohap.gov.ae/en/services/issue-of-good-professional-conduct-certificates-for-health-professional
What specific exclusion applies to the issuance of a good professional conduct certificate for health professionals?,"Issue a Good Standing Certificate for a Health Professional Start Service Bookmark service Service completion duration 3 working days View more Service fees Nursing professionals, medical professionals and d... Pharmacists and assistant pharmacists: AED 300 About the Service This service allows medical staff from public and private sectors to apply for certificate of good professional conduct Service Process 1 Login to the MoHAP website or smart app using the UAE PASS to apply for the service 2 Submit the required",This service issues good professional conduct certificates to licensed health professionals in the UAE.,A good professional conduct certificate will not be issued to those who have only an initial license from the Ministry of Health and Prevention.,https://mohap.gov.ae/en/services/issue-of-good-professional-conduct-certificates-for-health-professional
What specific exclusion applies to the issuance of a good professional conduct certificate for health professionals?,"Type Variation Related Services This service is not linked to any other services Service Bundle This service is not linked to any bundles Notes Please note that if the applicant works in one of the private outsourcing companies contracting with the Emirates Health Services Corporation, he must apply for a service card to obtain a certificate of good standing and professional conduct in the government sector Required Documents Medical staff in the private sector: A copy of medical profession practice card (electronic",This service issues good professional conduct certificates to licensed health professionals in the UAE.,A good professional conduct certificate will not be issued to those who have only an initial license from the Ministry of Health and Prevention.,https://mohap.gov.ae/en/services/issue-of-good-professional-conduct-certificates-for-health-professional
What specific exclusion applies to the issuance of a good professional conduct certificate for health professionals?,"Type Variation Related Services This service is not linked to any other services Service Bundle This service is not linked to any bundles Notes Please note that if the applicant works in one of the private outsourcing companies contracting with the Emirates Health Services Corporation, he must apply for a service card to obtain a certificate of good standing and professional conduct in the government sector Required Documents Medical staff in the private sector: A copy of medical profession practice card (electronic",This service issues good professional conduct certificates to licensed health professionals in the UAE.,A good professional conduct certificate will not be issued to those who have only an initial license from the Ministry of Health and Prevention.,https://mohap.gov.ae/en/services/issue-of-good-professional-conduct-certificates-for-health-professional
