question,retreived chunk,context,answer,source
Which specific document must be completed at the Customer Happiness Centers by the owner of a healthcare facility applying for licensing?,"Letter of application from the owner Latest license issued by MOHAP List of partners' names Security character reference forms Final site plan approved by MOHAP engineers Copy of the facility's license issued by the Department of Economic Development Preventive safety agreement issued by the Civil Defense Department Copy of the agreement signed with the municipality or a company for the disposal of medical waste List of medical equipment, with names and their respective functions Price list of services provided by the",This service requires a character reference for licensing a healthcare facility under MOHAP regulations.,"The owner must complete a character reference document, which is available at the Customer Happiness Centers.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
Which specific document must be completed at the Customer Happiness Centers by the owner of a healthcare facility applying for licensing?,"a Customer Happiness Center. 7 Print the ad design, including the MOHAP approval and the start and expiry dates of the license. Conditions & Requirements Renewal applications should be submitted at least 3 working days before the expiry of the original licence. If any changes, additions or replacement of documents are required upon renewal, the application must be submitted on a new form. One account must be opened for each healthcare institution that holds a license from one of the licensing authorities to practice in",This service requires a character reference for licensing a healthcare facility under MOHAP regulations.,"The owner must complete a character reference document, which is available at the Customer Happiness Centers.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
Which specific document must be completed at the Customer Happiness Centers by the owner of a healthcare facility applying for licensing?,"medical diagnosis center, rehabilitation center, one-day surgery center). Resources Architectural - PDF 670KB RENEWAL FORM - PDF 24KB User Manual - Renewal of a Private Medical Facility License - PDF 1485KB Infographic - Renew a Health Facility License - PDF 420KB Department name Licensing and Accreditation Sector name Health Regulation Main service Medical Establishment Licensing and Registration Service Code 110-03-021-054 Service Classfication Transactional Service Type Government to Business Sub Service Type Auxiliary",This service requires a character reference for licensing a healthcare facility under MOHAP regulations.,"The owner must complete a character reference document, which is available at the Customer Happiness Centers.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
Which specific document must be completed at the Customer Happiness Centers by the owner of a healthcare facility applying for licensing?,"Defense) List of partners' names Internal regulations and rules of the facility Approved facility layout Recent license of the facility Letter to apply for the renewal of the license A copy of the RIAYATI system Registration in Tatmeen Additional documents for hospital and one day surgery centers: JCI certificate for the quality of health services or other accreditations (such as, Canadian and Australian accreditation) Additional documents for schools and nurseries: A letter clarifying the total number of students,",This service requires a character reference for licensing a healthcare facility under MOHAP regulations.,"The owner must complete a character reference document, which is available at the Customer Happiness Centers.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
Which specific document must be completed at the Customer Happiness Centers by the owner of a healthcare facility applying for licensing?,photos with white background A character reference (document available in Customer Happiness Centers) must be completed by the owner; licensing procedures will resume after the approval of the authority concerned. A non-national can own a health facility provided that the local authority to which the facility belongs issues an approval letter regarding the percentage of foreign ownership. An electric elevator must be installed if the facility consists of high floors. Compliance with engineering conditions and standards,This service requires a character reference for licensing a healthcare facility under MOHAP regulations.,"The owner must complete a character reference document, which is available at the Customer Happiness Centers.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact document required from the Department of Economic Development for the final approval of a medical facility license?,"Letter of application from the owner Latest license issued by MOHAP List of partners' names Security character reference forms Final site plan approved by MOHAP engineers Copy of the facility's license issued by the Department of Economic Development Preventive safety agreement issued by the Civil Defense Department Copy of the agreement signed with the municipality or a company for the disposal of medical waste List of medical equipment, with names and their respective functions Price list of services provided by the",This document is part of the final approval process for healthcare facilities applying for a license under MOHAP.,A trade license issued by the Department of Economic Development is required for the final approval of a medical facility license.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact document required from the Department of Economic Development for the final approval of a medical facility license?,approval from MOHAP engineers License of the Department of Economic Development Application letter of the facility Security clearance of owner Proof of owner's qualifications Final approval of inspection: The facility's plan with initial approval of MOHAP engineers The facility's plan with final approval of MOHAP engineers Final approval of the license: External billboard of the facility Medical waste agreement List of medical equipment Services price list License of radiation protection (issued by the Federal Authority,This document is part of the final approval process for healthcare facilities applying for a license under MOHAP.,A trade license issued by the Department of Economic Development is required for the final approval of a medical facility license.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact document required from the Department of Economic Development for the final approval of a medical facility license?,"be issued. 6 Proceed with finalizing the license requirements of relevant government departments, such as Civil Defense. 7 Submit an application for final inspection. 8 Once final inspection is approved, pay the final fee and submit the remaining documents. 9 License will be issued electronically and sent via email. It can also be downloaded via the website. Conditions & Requirements License must be valid for more than 6 months. Relocation of medical facilities may only be done after obtaining the final approval of the",This document is part of the final approval process for healthcare facilities applying for a license under MOHAP.,A trade license issued by the Department of Economic Development is required for the final approval of a medical facility license.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact document required from the Department of Economic Development for the final approval of a medical facility license?,16 Notes None Required Documents Primary inspection: Letter requesting the medical facility's location change Latest trade license issued by the Department of Economic Development Latest license of the facility issued by MOHAP Site plan approved by MOHAP engineers Final inspection:Final approval: Establishment Croak Plan Initially Approved By MOHAP Engineer Establishment Croak Plan which should be Approved Finally By MOHAP Engineer Final approval: Establishment Croak Plan Finally Approved By MOHAP Engineer Economic,This document is part of the final approval process for healthcare facilities applying for a license under MOHAP.,A trade license issued by the Department of Economic Development is required for the final approval of a medical facility license.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact document required from the Department of Economic Development for the final approval of a medical facility license?,"approval: Request letter A copy of the site plan approved by MOHAP engineers Latest trade license issued by the Department of Economic Development Final inspection: Crock plan approved initially approved by MOHAP engineers Crock plan to be approved finally by MOHAP engineers Final License Approval: Final site plan approved by MOHAP engineers Latest trade license issued by the Department of Economic Development, specifying the type of the new facility Copy of the preventive safety agreement issued by the Civil Defense Copy",This document is part of the final approval process for healthcare facilities applying for a license under MOHAP.,A trade license issued by the Department of Economic Development is required for the final approval of a medical facility license.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the specific service classification for the 'Appeal Against Medical Licensing Committee Decisions' service?,"Appeal Against Medical Licensing Committee Decisions Start Service Bookmark service Service completion duration 30 working days View more Service fees Free About the Service This service enables the owners of medical and pharmaceutical establishments, and members of their medical and technical teams, to appeal the decisions of the Medical Licensing Committee. Service Process 1 An appeal against the decision of the Medical or Pharmaceutical Licensing Committee should be submitted to the Office of the Minister of Health and",This service allows businesses and professionals to appeal decisions made by the Medical Licensing Committee.,The service classification for this appeal is 'Transactional' and the service type is 'Government to Business'.,https://mohap.gov.ae/en/services/appeal-against-medical-licensing-committee-decisions
What is the specific service classification for the 'Appeal Against Medical Licensing Committee Decisions' service?,Practitioners and Medical Professionals - PDF 376KB Department name Licensing and Accreditation Sector name Health Regulation Main service Licensing of medical professions Service Code 110-40-008-038 Service Classfication Transactional Service Type Government to Business Sub Service Type Auxiliary Related Services This service is not linked to any other services Service Bundle This service is not linked to any bundles Number of Users 211 Number of Transactions 74 Notes None Required Documents Letter requesting the change,This service allows businesses and professionals to appeal decisions made by the Medical Licensing Committee.,The service classification for this appeal is 'Transactional' and the service type is 'Government to Business'.,https://mohap.gov.ae/en/services/appeal-against-medical-licensing-committee-decisions
What is the specific service classification for the 'Appeal Against Medical Licensing Committee Decisions' service?,Institution - PDF 363KB Department name Licensing and Accreditation Sector name Health Regulation Main service Healthcare Advertisement Licencing Service Code 110-05-036-000 Service Classfication Transactional Service Type Government to Business Sub Service Type Variation Related Services This service is not linked to any other services Service Bundle This service is not linked to any bundles Notes None Required Documents Valid licenses of service providers/facility Valid registration or classification certificates of any,This service allows businesses and professionals to appeal decisions made by the Medical Licensing Committee.,The service classification for this appeal is 'Transactional' and the service type is 'Government to Business'.,https://mohap.gov.ae/en/services/appeal-against-medical-licensing-committee-decisions
What is the specific service classification for the 'Appeal Against Medical Licensing Committee Decisions' service?,Regulation Main service Medical Establishment Licencing and Registration Service Code 110-03-022-000 Service Classfication Transactional Service Type,This service allows businesses and professionals to appeal decisions made by the Medical Licensing Committee.,The service classification for this appeal is 'Transactional' and the service type is 'Government to Business'.,https://mohap.gov.ae/en/services/appeal-against-medical-licensing-committee-decisions
What is the specific service classification for the 'Appeal Against Medical Licensing Committee Decisions' service?,Licensing of medical professions Service Code 110-40-012-000 Service Classfication Transactional Service Type Government to Business Sub Service Type,This service allows businesses and professionals to appeal decisions made by the Medical Licensing Committee.,The service classification for this appeal is 'Transactional' and the service type is 'Government to Business'.,https://mohap.gov.ae/en/services/appeal-against-medical-licensing-committee-decisions
What is the minimum number of days it takes to receive engineering team approval after submitting a request for health facility inspection?,and technicians employed must be consistent with the new facility type. Service completion duration Approval of the license application: 1 working day - Initial inspection: 2 working days Verification of the facility plan: 5 to 7 working days Final inspection: 7 to 10 working days Final licensing: 2 working days Engineering team approval: Initial inspection: 2 working days Verification of the facility plan: 5 to 7 working days Final inspection: 7 to10 working days Service fees Application fee: AED 100 Initial inspection,This service involves inspecting the facility before approval is granted for licensing.,It takes a minimum of 2 working days to receive engineering team approval after submitting an inspection request.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the minimum number of days it takes to receive engineering team approval after submitting a request for health facility inspection?,of medical facilities may only be done after obtaining the final approval of the site plan from MOHAP engineers. Service completion duration Approval of the application: 1 working day Final licensing: 2 working days Engineering team approval: Initial inspection: 2 working days Verification of the facility plan: 5 to 7 working days Final inspection: 7 to10 working days Service fees Application fee for transferring the location of a facility: AED 100 Service fees for transferring the location of a facility: AED 100 Initial,This service involves inspecting the facility before approval is granted for licensing.,It takes a minimum of 2 working days to receive engineering team approval after submitting an inspection request.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the minimum number of days it takes to receive engineering team approval after submitting a request for health facility inspection?,"team approval: Initial inspection: 2 working days Verification of the facility plan: 5 to 7 working days Final inspection: 7 to10 working days Service fees License Application Fees: AED 100 Initial Inspection Fees: Hospital/Convalescent Home/Fertility Center/Emergency Center/Home Medical Center: AED 2,000 General Clinic/Specialist Clinic/Medical Center/Medical Diagnosis Center/Rehabilitation Center: AED 1,000 Verifying Site Plan Fees: Hospital/Convalescent Home/Fertility Center/Emergency Center/Home Medical Center:",This service involves inspecting the facility before approval is granted for licensing.,It takes a minimum of 2 working days to receive engineering team approval after submitting an inspection request.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the minimum number of days it takes to receive engineering team approval after submitting a request for health facility inspection?,working days Verification of the facility plan: 5 to 7 working days Final inspection: 7 to 10 working days Final licensing: 5 working days Service fees,This service involves inspecting the facility before approval is granted for licensing.,It takes a minimum of 2 working days to receive engineering team approval after submitting an inspection request.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the minimum number of days it takes to receive engineering team approval after submitting a request for health facility inspection?,Manufacturing facilities of pharmaceuticals and medical device: Handling the first licensing step (primary approval): Within 5 working days from the application receiving date Assigning inspection team to audit the compliance with good manufacturing practice (GMP): 10 days from the date of receiving the request Issuance of the certificate of compliance with current good manufacturing practice (c-GMP): 5 working days from the date of generation of the visit report. It is recommended to issue a GMP certificate. Issuing,This service involves inspecting the facility before approval is granted for licensing.,It takes a minimum of 2 working days to receive engineering team approval after submitting an inspection request.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
Which exact document must include the names of all licensed doctors and technicians within a healthcare facility when applying for a visiting doctor license?,Facility license List of licensed doctors and technicians in the facility Letter of undertaking from the doctor with the number of licenses License of the doctor responsible for following up cases,This is required when applying for the service allowing a visiting doctor to practice at a private healthcare facility.,A list of licensed doctors and technicians in the facility must be included when applying for a visiting doctor license.,https://mohap.gov.ae/en/services/licensing-of-a-visiting-doctor-from-the-uae
Which exact document must include the names of all licensed doctors and technicians within a healthcare facility when applying for a visiting doctor license?,"with names and their respective functions Price list of services provided by the medical facility List of licensed doctors and technicians Internal regulations of the medical facility License of radiation protection, for those facilities that include a radiation section Approval of the board of the medical facility",This is required when applying for the service allowing a visiting doctor to practice at a private healthcare facility.,A list of licensed doctors and technicians in the facility must be included when applying for a visiting doctor license.,https://mohap.gov.ae/en/services/licensing-of-a-visiting-doctor-from-the-uae
Which exact document must include the names of all licensed doctors and technicians within a healthcare facility when applying for a visiting doctor license?,(only for DHA doctors) Insurance against medical errors Facility's license List of licensed doctors and technicians in the facility Letter of undertaking addressed by the doctor with the number of licenses No Objection letter from the other facility List of operations to be carried out by the facility Letter of responsibility from the facility,This is required when applying for the service allowing a visiting doctor to practice at a private healthcare facility.,A list of licensed doctors and technicians in the facility must be included when applying for a visiting doctor license.,https://mohap.gov.ae/en/services/licensing-of-a-visiting-doctor-from-the-uae
Which exact document must include the names of all licensed doctors and technicians within a healthcare facility when applying for a visiting doctor license?,Variation Related Services This service is not linked to any other services Service Bundle This service is not linked to any bundles Number of Users 2 Number of Transactions 2 Notes None Required Documents An application letter submitted by the facility to license the visiting doctor Job offer Copy of permanent license Plan of the facility approved by MOHAP engineers Certificate of experience Insurance against medical errors Facility license List of licensed doctors and technicians in the facility Letter of undertaking,This is required when applying for the service allowing a visiting doctor to practice at a private healthcare facility.,A list of licensed doctors and technicians in the facility must be included when applying for a visiting doctor license.,https://mohap.gov.ae/en/services/licensing-of-a-visiting-doctor-from-the-uae
Which exact document must include the names of all licensed doctors and technicians within a healthcare facility when applying for a visiting doctor license?,and technicians in the facility Letter of undertaking from the doctor with the number of licenses License of the doctor responsible for following up cases,This is required when applying for the service allowing a visiting doctor to practice at a private healthcare facility.,A list of licensed doctors and technicians in the facility must be included when applying for a visiting doctor license.,https://mohap.gov.ae/en/services/licensing-of-a-visiting-doctor-from-the-uae
What is the exact fee for re-verifying a geometric site plan for a general clinic or medical center?,"AED 2,000 General clinic, specialist clinic, medical center, medical diagnosis center, rehabilitation center: AED 1,000 Re-verifying architectural site",This service requires a fee for re-verifying geometric site plans during the healthcare facility licensing process.,The fee for re-verifying a geometric site plan for a general clinic or medical center is AED 500.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact fee for re-verifying a geometric site plan for a general clinic or medical center?,"Site Plan Fees: Hospital/Convalescent Home/Fertility Center/Emergency Center/Home Medical Center: AED2,000 General Clinic/Specialist Clinic/Medical",This service requires a fee for re-verifying geometric site plans during the healthcare facility licensing process.,The fee for re-verifying a geometric site plan for a general clinic or medical center is AED 500.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact fee for re-verifying a geometric site plan for a general clinic or medical center?,"2,000 General Clinic/Specialist Clinic/Medical Center/Medical Diagnosis Center/Rehabilitation Center: AED 1,000 Re-verifying geographical site",This service requires a fee for re-verifying geometric site plans during the healthcare facility licensing process.,The fee for re-verifying a geometric site plan for a general clinic or medical center is AED 500.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact fee for re-verifying a geometric site plan for a general clinic or medical center?,"Home/Fertility Center/Emergency Center/Home Medical Center: AED2,000 General Clinic/Specialist Clinic/Medical Center/Medical Diagnosis Center/Rehabilitation Center: AED 1,000 Re-verifying Geometric Site Plan Fees: Hospital/Convalescent Home/Fertility Center/Emergency Center/Home Medical Center: AED1,000 General Clinic/Specialist Clinic/Medical Center/Medical Diagnosis Center/Rehabilitation Center: AED 500 Final License Fees: General Clinic/Rehabilitation Center/Home Health Center: AED 5,000 Specialist Clinic/Medical",This service requires a fee for re-verifying geometric site plans during the healthcare facility licensing process.,The fee for re-verifying a geometric site plan for a general clinic or medical center is AED 500.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact fee for re-verifying a geometric site plan for a general clinic or medical center?,"days Final inspection: 7 to10 working days Service fees Application fee: AED 100 Initial inspection fee: Hospital, convalescent home, fertility center, emergency center, home medical center: AED 2,000 General clinic, specialist clinic, medical center, medical diagnosis center, rehabilitation center: AED 1,000 Verifying site plan fee: Hospital, convalescent home, fertility center, emergency center, home medical center: AED 2,000 General clinic, specialist clinic, medical center, medical diagnosis center, rehabilitation",This service requires a fee for re-verifying geometric site plans during the healthcare facility licensing process.,The fee for re-verifying a geometric site plan for a general clinic or medical center is AED 500.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What specific exclusion applies to the issuance of a good professional conduct certificate for health professionals?,"certificate will not be issued to those who are not licensed by the Ministry of Health and prevention The customer must be licensed by the Ministry of Health and Prevention for more than 3 months The customer must not have been sentenced for a medical offense or violation that prohibits the issuance of the certificate The certificate is valid for 6 months from the date of issuance Medical staff in the private sector: For the pharmacist or assistant pharmacist: A letter of experience from the employer, certified by the",This service issues good professional conduct certificates to licensed health professionals in the UAE.,A good professional conduct certificate will not be issued to those who have only an initial license from the Ministry of Health and Prevention.,https://mohap.gov.ae/en/services/issue-of-good-professional-conduct-certificates-for-health-professional
What specific exclusion applies to the issuance of a good professional conduct certificate for health professionals?,"the pharmacist or assistant pharmacist: A letter of experience from the employer, certified by the Department of Medicine in the Ministry of Health and Prevention For the manual license: specifying the purpose of the application (issue of a good professional conduct certificate) Medical staff in the government sector: The customer must have evaluation certificate or licensed by the Ministry of Health and Prevention FAQ’s How long will the certificate be valid? The certificate is valid for 6 months from the date of issue",This service issues good professional conduct certificates to licensed health professionals in the UAE.,A good professional conduct certificate will not be issued to those who have only an initial license from the Ministry of Health and Prevention.,https://mohap.gov.ae/en/services/issue-of-good-professional-conduct-certificates-for-health-professional
What specific exclusion applies to the issuance of a good professional conduct certificate for health professionals?,"A professional license corresponding to the period of work experience A certificate of good professional conduct issued at the same place where the professional license was issued A valid passport Passport and family book for citizens The applicant’s birth certificate and the mother’s family book for children of female citizens For more information, refer to the Handbook of Unified Standards for Practitioners of Health Practitioners Licensing (PQR)",This service issues good professional conduct certificates to licensed health professionals in the UAE.,A good professional conduct certificate will not be issued to those who have only an initial license from the Ministry of Health and Prevention.,https://mohap.gov.ae/en/services/issue-of-good-professional-conduct-certificates-for-health-professional
What specific exclusion applies to the issuance of a good professional conduct certificate for health professionals?,"Issue a Good Standing Certificate for a Health Professional Start Service Bookmark service Service completion duration 3 working days View more Service fees Nursing professionals, medical professionals and d... Pharmacists and assistant pharmacists: AED 300 About the Service This service allows medical staff from public and private sectors to apply for certificate of good professional conduct Service Process 1 Login to the MoHAP website or smart app using the UAE PASS to apply for the service 2 Submit the required",This service issues good professional conduct certificates to licensed health professionals in the UAE.,A good professional conduct certificate will not be issued to those who have only an initial license from the Ministry of Health and Prevention.,https://mohap.gov.ae/en/services/issue-of-good-professional-conduct-certificates-for-health-professional
What specific exclusion applies to the issuance of a good professional conduct certificate for health professionals?,"Type Variation Related Services This service is not linked to any other services Service Bundle This service is not linked to any bundles Notes Please note that if the applicant works in one of the private outsourcing companies contracting with the Emirates Health Services Corporation, he must apply for a service card to obtain a certificate of good standing and professional conduct in the government sector Required Documents Medical staff in the private sector: A copy of medical profession practice card (electronic",This service issues good professional conduct certificates to licensed health professionals in the UAE.,A good professional conduct certificate will not be issued to those who have only an initial license from the Ministry of Health and Prevention.,https://mohap.gov.ae/en/services/issue-of-good-professional-conduct-certificates-for-health-professional
What exact documentation must be submitted if a health professional’s license has been canceled and they are applying for a good standing certificate?,None  Required Documents Letter from the facility requesting the cancellation of the license Copy of the doctor's valid license Cancellation of residence license or business card,This service provides good standing certificates for health professionals who have held MOHAP licenses.,A license cancellation letter from MOHAP must be submitted when applying for a good standing certificate after license cancellation.,https://mohap.gov.ae/en/services/issue-of-good-professional-conduct-certificates-for-health-professional
What exact documentation must be submitted if a health professional’s license has been canceled and they are applying for a good standing certificate?,2227 Notes None  Required Documents Letter from the facility requesting the cancellation of the license Copy of the doctor's valid license,This service provides good standing certificates for health professionals who have held MOHAP licenses.,A license cancellation letter from MOHAP must be submitted when applying for a good standing certificate after license cancellation.,https://mohap.gov.ae/en/services/issue-of-good-professional-conduct-certificates-for-health-professional
What exact documentation must be submitted if a health professional’s license has been canceled and they are applying for a good standing certificate?,"A professional license corresponding to the period of work experience A certificate of good professional conduct issued at the same place where the professional license was issued A valid passport Passport and family book for citizens The applicant’s birth certificate and the mother’s family book for children of female citizens For more information, refer to the Handbook of Unified Standards for Practitioners of Health Practitioners Licensing (PQR)",This service provides good standing certificates for health professionals who have held MOHAP licenses.,A license cancellation letter from MOHAP must be submitted when applying for a good standing certificate after license cancellation.,https://mohap.gov.ae/en/services/issue-of-good-professional-conduct-certificates-for-health-professional
